id,title,description,html_title,html_description,slug,url,icon,is_main,list_main_order,is_footer,list_footer_order,is_hidden,parent_id,url_parent_id
1,Home,Html Description,Home,Html Description,/,,,1,1,0,,0,0,0
2,About,About,About,About,about,/about,,1,2,0,,0,0,0
3,Contact Us,Contact Us,Contact Us,Contact Us,contact-us,/contact-us,,1,3,0,,0,0,0
4,Other Pages,Other Pages,Other Pages,Other Pages,pages,/pages,,1,7,0,,0,0,0
5,Pricing,Pricing,Pricing,Pricing,pricing,/pricing,,1,4,0,,0,0,0
6,1 Column Page,1 Column Page,1 Column Page,1 Column Page,1-column,/pages/1-column,,1,1,0,,0,4,4
7,2 Column Page,2 Column Page,2 Column Page,2 Column Page,2-column,/pages/2-column,,1,2,0,,0,4,4
8,3 Column Page,3 Column Page,3 Column Page,3 Column Page,3-column,/pages/3-column,,1,3,0,,0,4,4
9,4 Column Page,4 Column Page,4 Column Page,4 Column Page,4-column,/pages/4-column,,1,4,0,,0,4,4
10,Changelog,Changelog,Changelog,Changelog,changelog,/changelog,,1,6,0,,0,0,0
11,Testimonials,Testimonials,Testimonials,Testimonials,testimonials,/testimonials,,1,5,0,,0,0,0
