id,title
1,<strong>1</strong> User
2,<strong>5</strong> Projects
3,<strong>Unlimited</strong> Email Accounts
4,<strong>10GB</strong> Disk Space
5,<strong>100GB</strong> Monthly Bandwidth
6,<strong>10</strong> User
7,<strong>500</strong> Projects
8,<strong>Unlimited</strong> Email Accounts
9,<strong>1000GB</strong> Disk Space
10,<strong>10000GB</strong> Monthly Bandwidth
11,<strong>Unlimted</strong> Users
12,<strong>Unlimited</strong> Projects
13,<strong>Unlimited</strong> Email Accounts
14,<strong>10000GB</strong> Disk Space
15,<strong>Unlimited</strong> Monthly Bandwidth
